Source	Mo
Tension (kV)	40
Current (uA)	500
4.742	2.000
4.745	6.000
4.749	1.000
4.752	1.000
4.755	2.000
4.758	6.000
4.762	3.000
4.765	3.000
4.768	3.000
4.771	2.000
4.774	2.000
4.778	2.000
4.781	1.000
4.784	1.000
4.787	2.000
4.790	1.000
4.794	5.000
4.797	3.000
4.800	4.000
4.803	3.000
4.807	1.000
4.810	3.000
4.813	1.000
4.816	1.000
4.819	1.000
4.823	1.000
4.826	1.000
4.829	2.000
4.832	2.000
4.835	1.000
4.839	3.000
4.842	1.000
4.845	2.000
4.848	2.000
4.851	2.000
4.855	1.000
4.858	2.000
4.861	0.000
4.864	3.000
4.868	5.000
4.871	4.000
4.874	0.000
4.877	0.000
4.880	3.000
4.884	0.000
4.887	1.000
4.890	1.000
4.893	4.000
4.896	3.000
4.900	1.000
4.903	4.000
4.906	3.000
4.909	0.000
4.912	4.000
4.916	2.000
4.919	2.000
4.922	2.000
4.925	3.000
4.929	1.000
4.932	1.000
4.935	2.000
4.938	6.000
4.941	1.000
4.945	3.000
4.948	7.000
4.951	4.000
4.954	3.000
4.957	3.000
4.961	3.000
4.964	1.000
4.967	4.000
4.970	0.000
4.973	4.000
4.977	2.000
4.980	4.000
4.983	4.000
4.986	0.000
4.990	2.000
4.993	3.000
4.996	0.000
4.999	2.000
5.002	1.000
5.006	3.000
5.009	1.000
5.012	4.000
5.015	3.000
5.018	1.000
5.022	0.000
5.025	5.000
5.028	4.000
5.031	0.000
5.034	3.000
5.038	1.000
5.041	2.000
5.044	0.000
5.047	5.000
5.051	2.000
5.054	3.000
5.057	2.000
5.060	4.000
5.063	2.000
5.067	3.000
5.070	3.000
5.073	2.000
5.076	1.000
5.079	2.000
5.083	2.000
5.086	5.000
5.089	8.000
5.092	2.000
5.095	4.000
5.099	3.000
5.102	2.000
5.105	1.000
5.108	1.000
5.112	0.000
5.115	2.000
5.118	1.000
5.121	1.000
5.124	2.000
5.128	2.000
5.131	3.000
5.134	1.000
5.137	1.000
5.140	3.000
5.144	2.000
5.147	5.000
5.150	2.000
5.153	4.000
5.157	2.000
5.160	4.000
5.163	3.000
5.166	0.000
5.169	3.000
5.173	3.000
5.176	3.000
5.179	2.000
5.182	4.000
5.185	0.000
5.189	4.000
5.192	2.000
5.195	0.000
5.198	2.000
5.201	3.000
5.205	2.000
5.208	2.000
5.211	1.000
5.214	2.000
5.218	3.000
5.221	1.000
5.224	2.000
5.227	2.000
5.230	1.000
5.234	1.000
5.237	1.000
5.240	1.000
5.243	4.000
5.246	2.000
5.250	3.000
5.253	3.000
5.256	5.000
5.259	5.000
5.262	5.000
5.266	3.000
5.269	5.000
5.272	6.000
5.275	1.000
5.279	5.000
5.282	7.000
5.285	3.000
5.288	4.000
5.291	6.000
5.295	6.000
5.298	7.000
5.301	3.000
5.304	4.000
5.307	2.000
5.311	4.000
5.314	3.000
5.317	3.000
5.320	5.000
5.323	8.000
5.327	6.000
5.330	5.000
5.333	1.000
5.336	9.000
5.340	5.000
5.343	2.000
5.346	7.000
5.349	4.000
5.352	4.000
5.356	1.000
5.359	5.000
5.362	2.000
5.365	6.000
5.368	2.000
5.372	8.000
5.375	8.000
5.378	2.000
5.381	3.000
5.384	5.000
5.388	4.000
5.391	4.000
5.394	5.000
5.397	7.000
5.401	8.000
5.404	3.000
5.407	6.000
5.410	3.000
